0.1874,0.2088,0.2361,0.2417,0.2225,0.0973,0.0771,0.0656,0.0907,0.1352,0.236,0.2561,0.2701,0.2822,0.2779,0.2896,0.2975,0.3214,0.3287,0.3284,37.4429168701172,2.85666751861572,3.23759508132935,2.147073954,5.931608181,0.414806397
0.3043,0.3131,0.3417,0.35,0.3265,0.1758,0.1311,0.1925,0.2626,0.342,0.4329,0.431,0.426,0.4279,0.4124,0.4277,0.4392,0.456,0.4613,0.4622,41.1166915893555,2.99192953109741,3.54886507987976,2.511852066,7.663832081,0.93136506
0.4713,0.543,0.6276,0.6472,0.6563,0.564,0.5538,0.5157,0.4365,0.3067,0.2609,0.2253,0.1896,0.1554,0.1172,0.1013,0.0844,0.0882,0.0902,0.0912,34.9410743713379,3.39178442955017,5.26252794265747,0.433588529,6.694171707,3.98838382
0.2417,0.2645,0.3137,0.3271,0.3181,0.2455,0.2258,0.2818,0.2794,0.2182,0.2263,0.2152,0.2038,0.2102,0.2247,0.2525,0.2808,0.3326,0.3468,0.3409,35.6329116821289,2.97437143325806,3.92949771881104,1.000685888,6.533664024,3.007097325
0.5425,0.607,0.6767,0.6782,0.6494,0.4542,0.3969,0.4473,0.4783,0.5485,0.6323,0.6181,0.5979,0.5843,0.5479,0.5594,0.5644,0.5622,0.5625,0.5662,45.1587066650391,3.40530323982239,4.69532537460327,1.717979136,10.71271634,5.132780413
0.2045,0.2304,0.2686,0.2778,0.256,0.119,0.0854,0.1124,0.1832,0.2978,0.4257,0.4362,0.44,0.4471,0.4418,0.4727,0.5092,0.5601,0.5742,0.5715,41.5335121154785,2.90122580528259,3.31933069229126,2.522574047,7.171928196,0.470956431
0.3706,0.3966,0.4197,0.4167,0.3817,0.1911,0.1416,0.17,0.2385,0.36,0.491,0.4993,0.5003,0.5081,0.501,0.5327,0.5637,0.6011,0.6118,0.6105,43.0079574584961,3.06786775588989,3.57356786727905,3.100887249,7.443060234,0.429299342
0.2335,0.2757,0.328,0.3356,0.307,0.1497,0.1094,0.1435,0.2144,0.3288,0.4544,0.463,0.4654,0.466,0.4397,0.4469,0.4509,0.4592,0.4624,0.4651,42.1181793212891,2.96955895423889,3.4315197467804,3.04004505,8.139793285,0.727011068
0.4676,0.5175,0.5537,0.5484,0.519,0.3278,0.2679,0.3415,0.3812,0.3905,0.4216,0.3988,0.3721,0.3489,0.3244,0.3388,0.3609,0.4043,0.4167,0.4147,39.5158271789551,3.23938918113708,4.15673732757568,1.283874436,4.305941135,0.40666506
0.1982,0.2336,0.2818,0.2917,0.2672,0.129,0.0988,0.1129,0.175,0.3099,0.4663,0.4884,0.5036,0.5189,0.5035,0.5216,0.5418,0.5667,0.5743,0.5757,43.2164268493652,2.91688799858093,3.3625693321228,4.549758227,12.84722931,1.927729441
0.517,0.4674,0.4585,0.4342,0.3949,0.306,0.2579,0.4403,0.4995,0.5116,0.5437,0.5021,0.4939,0.5455,0.5475,0.5471,0.4537,0.2881,0.2444,0.2579,43.3061485290527,3.09488558769226,4.19150352478027,0.35,3.07,1.28
0.1906,0.2154,0.2785,0.3008,0.2784,0.1191,0.0873,0.0754,0.1276,0.258,0.4185,0.4475,0.4708,0.5009,0.5041,0.533,0.5589,0.5892,0.5981,0.5986,42.5398292541504,2.92946529388428,3.29469013214111,4.047508533,11.00537197,1.12093609
0.1904,0.2174,0.2478,0.2459,0.2229,0.0841,0.0605,0.0462,0.0798,0.1658,0.3086,0.3496,0.397,0.4777,0.5294,0.5772,0.5723,0.5279,0.5158,0.5144,41.1948928833008,2.86059975624084,3.16900134086609,0.86,6.17,2.97
0.6402,0.6375,0.672,0.6725,0.6367,0.4922,0.4088,0.6582,0.7722,0.8865,0.954,0.8401,0.7671,0.7925,0.752,0.7518,0.7247,0.6472,0.6272,0.6365,49.8270492553711,3.40124917030334,4.92817354202271,0.68,6.87,3.69
0.0862,0.106,0.1562,0.1778,0.1662,0.0618,0.0435,0.0453,0.0998,0.2021,0.3376,0.3613,0.3802,0.4034,0.4079,0.4348,0.4615,0.4998,0.5107,0.509,40.2399406433105,2.78104734420776,3.10584187507629,3.090007864,8.619916912,1.087767598
0.3607,0.4148,0.4857,0.4971,0.4605,0.2326,0.1838,0.1612,0.1893,0.2784,0.4065,0.4243,0.435,0.4291,0.3672,0.3267,0.276,0.2198,0.2062,0.2173,41.3953437805176,3.16857123374939,3.71090412139893,2.927410648,8.950530077,1.397809465
0.3615,0.4269,0.4453,0.4272,0.4025,0.2562,0.2124,0.2777,0.3067,0.2922,0.3171,0.2994,0.2789,0.2629,0.236,0.2295,0.2157,0.2142,0.2148,0.2174,37.3034133911133,3.08835339546204,3.8972156047821,1.815037447,4.947881314,0.510442859
0.5425,0.607,0.6767,0.6782,0.6494,0.4542,0.3969,0.4473,0.4783,0.5485,0.6323,0.6181,0.5979,0.5843,0.5479,0.5594,0.5644,0.5622,0.5625,0.5662,45.1587066650391,3.40530323982239,4.69532537460327,1.321635002,10.71271634,5.071154556
0.0853,0.111,0.1614,0.1809,0.1693,0.0588,0.0447,0.0227,0.0443,0.0819,0.1835,0.21,0.2332,0.2629,0.2776,0.2971,0.313,0.3455,0.3548,0.3519,36.689640045166,2.78461933135986,3.08569860458374,3.034959202,8.192649939,0.868667627
0.1421,0.1613,0.1831,0.1842,0.1701,0.1,0.0763,0.1537,0.2196,0.2645,0.3318,0.3268,0.3189,0.3078,0.2777,0.2711,0.259,0.2574,0.2581,0.261,38.3850898742676,2.78854131698608,3.309809923,1.572107316,5.351860623,0.603992701
0.2879,0.3189,0.3421,0.3395,0.3102,0.1516,0.1091,0.1505,0.2254,0.3405,0.4634,0.4713,0.4745,0.4833,0.4775,0.5091,0.544,0.5884,0.6009,0.5986,42.3898773193359,2.97384095191956,3.43783402442932,3.844010774,8.927247904,0.483826941
0.5705,0.642,0.6946,0.683,0.631,0.3361,0.2654,0.2499,0.2866,0.3958,0.5224,0.5286,0.5262,0.5277,0.5119,0.538,0.5672,0.603,0.6132,0.6126,43.5727920532227,3.39305686950684,4.08512449264526,2.680855735,6.816770015,0.593147694
0.5425,0.607,0.6767,0.6782,0.6494,0.4542,0.3969,0.4473,0.4783,0.5485,0.6323,0.6181,0.5979,0.5843,0.5479,0.5594,0.5644,0.5622,0.5625,0.5662,45.1587066650391,3.40530323982239,3.94137721061707,0.84,7.64,4.07
0.2719,0.2898,0.323,0.3263,0.3005,0.1716,0.1284,0.2106,0.2989,0.4186,0.5372,0.5381,0.5331,0.5282,0.4956,0.5046,0.5097,0.514,0.5162,0.52,43.7154121398926,2.96117782592773,3.55707240104675,2.002789822,6.502339802,0.925214603
0.479,0.456,0.4852,0.4824,0.4462,0.3316,0.2706,0.4703,0.5586,0.6194,0.6685,0.5438,0.4994,0.6356,0.6881,0.6987,0.6654,0.5788,0.556,0.5632,44.3247413635254,3.15874481201172,4.27241230010986,0.9,8.54,4.29
0.2748,0.3165,0.3385,0.3311,0.311,0.2207,0.1673,0.3471,0.4731,0.6059,0.7082,0.6951,0.681,0.6885,0.6891,0.748,0.789,0.8057,0.8098,0.805,47.3693771362305,2.97384023666382,3.81130409240723,2.66,8.4,1.14
0.222,0.2234,0.2243,0.2213,0.2024,0.1152,0.0757,0.1993,0.3107,0.4223,0.519,0.5093,0.4959,0.4962,0.4972,0.5457,0.6024,0.672,0.6911,0.6859,42.7702522277832,2.83311033248901,3.35936522483826,3.41967171,9.051135056,0.596221177
0.2393,0.2653,0.3043,0.3114,0.2888,0.1452,0.111,0.1344,0.1825,0.2491,0.3471,0.3549,0.3588,0.3497,0.2874,0.2354,0.1639,0.087,0.0682,0.0818,39.4575958251953,2.94317102432251,3.42458415031433,2.761638091,8.1858307,0.90271607
0.3959,0.478,0.5183,0.5056,0.4652,0.2403,0.1873,0.1881,0.2269,0.3213,0.4472,0.4628,0.4708,0.4771,0.4481,0.4455,0.4313,0.4126,0.4087,0.4143,42.3082542419434,3.17627906799316,3.74797892570496,2.531971203,6.464235205,0.469235628
0.1454,0.1796,0.2036,0.205,0.1878,0.0897,0.066,0.1063,0.1685,0.2386,0.3322,0.3358,0.3336,0.3288,0.3144,0.3322,0.3566,0.3979,0.4094,0.4058,38.8087844848633,2.81175923347473,3.23521614074707,2.799865213,7.139048504,0.482313331
0.6186,0.6976,0.73,0.7088,0.6582,0.3802,0.2968,0.3588,0.4324,0.5556,0.6666,0.6559,0.636,0.6207,0.5905,0.6206,0.6515,0.6825,0.6916,0.6928,46.0934562683105,3.42742967605591,4.29339075088501,1.985331255,5.607777861,0.363060735
